group_ab,group_xy,percentil,total_fraudes_baseline,total_fraudes_producao,total_fraudes_safra,percentual_fraudes_total_baseline,percentual_fraudes_total_producao,safra,score
A,X,75,107,109,418,25.598086124401913,26.076555023923444,202304,score_ext_1
A,Y,75,268,267,1043,25.69511025886865,25.599232981783317,202304,score_ext_1
B,X,75,113,114,440,25.681818181818183,25.90909090909091,202304,score_ext_1
B,Y,75,305,272,1052,28.99239543726236,25.85551330798479,202304,score_ext_1
A,X,85,58,67,418,13.875598086124402,16.028708133971293,202304,score_ext_1
A,Y,85,167,165,1043,16.01150527325024,15.819750719079579,202304,score_ext_1
B,X,85,60,70,440,13.636363636363635,15.909090909090908,202304,score_ext_1
B,Y,85,185,168,1052,17.58555133079848,15.96958174904943,202304,score_ext_1
A,X,95,21,26,418,5.023923444976076,6.220095693779904,202304,score_ext_1
A,Y,95,72,63,1043,6.903163950143816,6.0402684563758395,202304,score_ext_1
B,X,95,25,28,440,5.681818181818182,6.363636363636363,202304,score_ext_1
B,Y,95,68,66,1052,6.4638783269961975,6.273764258555133,202304,score_ext_1
