score,safra,group_ab,group_xy,percentil,score_percentil,count,percent
score_ext_1,baseline,A,Y,10,104,2853,90.7442748091603
score_ext_1,baseline,A,Y,20,208,2537,80.69338422391857
score_ext_1,baseline,A,Y,30,309,2212,70.35623409669212
score_ext_1,baseline,A,Y,40,402,1894,60.24173027989822
score_ext_1,baseline,A,Y,50,499,1586,50.445292620865146
score_ext_1,baseline,A,Y,60,598,1280,40.71246819338422
score_ext_1,baseline,A,Y,70,690,977,31.075063613231553
score_ext_1,baseline,A,Y,75,743,804,25.572519083969464
score_ext_1,baseline,A,Y,80,793,652,20.737913486005088
score_ext_1,baseline,A,Y,85,842,500,15.903307888040713
score_ext_1,baseline,A,Y,90,893,343,10.90966921119593
score_ext_1,baseline,A,Y,95,941,190,6.043256997455471
score_ext_1,baseline,A,Y,100,1000,2,0.06361323155216285
score_ext_1,baseline,A,X,10,93,1160,89.64451313755795
score_ext_1,baseline,A,X,20,194,1033,79.82998454404947
score_ext_1,baseline,A,X,30,287,903,69.78361669242659
score_ext_1,baseline,A,X,40,382,788,60.89644513137558
score_ext_1,baseline,A,X,50,506,650,50.23183925811438
score_ext_1,baseline,A,X,60,596,527,40.72642967542504
score_ext_1,baseline,A,X,70,708,396,30.602782071097373
score_ext_1,baseline,A,X,75,760,336,25.965996908809892
score_ext_1,baseline,A,X,80,808,269,20.78825347758887
score_ext_1,baseline,A,X,85,859,207,15.996908809891808
score_ext_1,baseline,A,X,90,902,142,10.973724884080372
score_ext_1,baseline,A,X,95,947,80,6.182380216383308
score_ext_1,baseline,A,X,100,1000,2,0.1545595054095827
score_ext_1,baseline,B,Y,10,98,2836,90.69395586824433
score_ext_1,baseline,B,Y,20,192,2520,80.58842340901823
score_ext_1,baseline,B,Y,30,287,2197,70.25903421810041
score_ext_1,baseline,B,Y,40,389,1876,59.993604093380235
score_ext_1,baseline,B,Y,50,487,1570,50.20786696514231
score_ext_1,baseline,B,Y,60,578,1264,40.42212983690438
score_ext_1,baseline,B,Y,70,682,958,30.636392708666456
score_ext_1,baseline,B,Y,75,730,806,25.775503677646306
score_ext_1,baseline,B,Y,80,780,647,20.69075791493444
score_ext_1,baseline,B,Y,85,832,500,15.98976654940838
score_ext_1,baseline,B,Y,90,880,345,11.03293891909178
score_ext_1,baseline,B,Y,95,933,189,6.044131755676367
score_ext_1,baseline,B,Y,100,1000,2,0.06395906619763352
score_ext_1,baseline,B,X,10,90,1213,89.9184581171238
score_ext_1,baseline,B,X,20,183,1079,79.98517420311342
score_ext_1,baseline,B,X,30,297,943,69.90363232023721
score_ext_1,baseline,B,X,40,387,809,59.97034840622683
score_ext_1,baseline,B,X,50,485,682,50.555967383246845
score_ext_1,baseline,B,X,60,593,552,40.919199406968126
score_ext_1,baseline,B,X,70,676,419,31.060044477390658
score_ext_1,baseline,B,X,75,722,349,25.87101556708673
score_ext_1,baseline,B,X,80,777,280,20.756115641215718
score_ext_1,baseline,B,X,85,824,216,16.011860637509265
score_ext_1,baseline,B,X,90,886,147,10.89696071163825
score_ext_1,baseline,B,X,95,931,82,6.078576723498888
score_ext_1,baseline,B,X,100,999,2,0.14825796886582654
