score,safra,group_ab,group_xy,percentil,score_percentil,count,percent
score_ext_1,baseline,A,TODOS,10,109,3984,89.77016674177557
score_ext_1,baseline,A,TODOS,20,208,3545,79.87832356917531
score_ext_1,baseline,A,TODOS,30,296,3149,70.95538530869761
score_ext_1,baseline,A,TODOS,40,399,2684,60.4776926543488
score_ext_1,baseline,A,TODOS,50,498,2252,50.74357818837314
score_ext_1,baseline,A,TODOS,60,595,1813,40.851735015772874
score_ext_1,baseline,A,TODOS,70,700,1357,30.576836412798556
score_ext_1,baseline,A,TODOS,75,744,1155,26.025236593059937
score_ext_1,baseline,A,TODOS,80,795,932,21.0004506534475
score_ext_1,baseline,A,TODOS,85,846,711,16.02073005858495
score_ext_1,baseline,A,TODOS,90,895,482,10.860748084722848
score_ext_1,baseline,A,TODOS,95,944,269,6.0612888688598465
score_ext_1,baseline,A,TODOS,100,1000,4,0.09013068949977468
score_ext_1,baseline,B,TODOS,10,96,4051,90.50491510277034
score_ext_1,baseline,B,TODOS,20,190,3599,80.40661304736372
score_ext_1,baseline,B,TODOS,30,291,3131,69.9508489722967
score_ext_1,baseline,B,TODOS,40,379,2727,60.924932975871315
score_ext_1,baseline,B,TODOS,50,480,2289,51.13941018766756
score_ext_1,baseline,B,TODOS,60,587,1804,40.303842716711344
score_ext_1,baseline,B,TODOS,70,682,1367,30.54066130473637
score_ext_1,baseline,B,TODOS,75,730,1142,25.513851653261842
score_ext_1,baseline,B,TODOS,80,776,939,20.978552278820377
score_ext_1,baseline,B,TODOS,85,829,714,15.951742627345844
score_ext_1,baseline,B,TODOS,90,881,492,10.991957104557642
score_ext_1,baseline,B,TODOS,95,933,267,5.96514745308311
score_ext_1,baseline,B,TODOS,100,1000,2,0.044682752457551385
