score,safra,group_ab,group_xy,percentil,score_percentil,count,percent
score_ext_1,baseline,TODOS,TODOS,10,96,8087,90.72245905317479
score_ext_1,baseline,TODOS,TODOS,20,196,7178,80.52501682746241
score_ext_1,baseline,TODOS,TODOS,30,296,6261,70.23782813551716
score_ext_1,baseline,TODOS,TODOS,40,385,5439,61.0163787300875
score_ext_1,baseline,TODOS,TODOS,50,487,4549,51.03208436167825
score_ext_1,baseline,TODOS,TODOS,60,586,3659,41.047789993269014
score_ext_1,baseline,TODOS,TODOS,70,689,2724,30.558671752299755
score_ext_1,baseline,TODOS,TODOS,75,734,2322,26.048911824096926
score_ext_1,baseline,TODOS,TODOS,80,788,1866,20.93336324882208
score_ext_1,baseline,TODOS,TODOS,85,839,1414,15.862687906663675
score_ext_1,baseline,TODOS,TODOS,90,890,967,10.84810410590083
score_ext_1,baseline,TODOS,TODOS,95,939,530,5.9457033879291
score_ext_1,baseline,TODOS,TODOS,100,1000,6,0.06730984967466906
