score,safra,group_ab,group_xy,percentil,score_percentil,count,percent
score_final,baseline,B,TODOS,10,0,4509,100.0
score_final,baseline,B,TODOS,20,0,4509,100.0
score_final,baseline,B,TODOS,30,30,3178,70.48125970281659
score_final,baseline,B,TODOS,40,101,2714,60.190729651807494
score_final,baseline,B,TODOS,50,174,2268,50.29940119760479
score_final,baseline,B,TODOS,60,242,1819,40.341539143934355
score_final,baseline,B,TODOS,70,312,1379,30.58327788866711
score_final,baseline,B,TODOS,75,349,1171,25.970281658904415
score_final,baseline,B,TODOS,80,391,940,20.84719449988911
score_final,baseline,B,TODOS,85,440,710,15.74628520736305
score_final,baseline,B,TODOS,90,492,494,10.955866045686404
score_final,baseline,B,TODOS,95,557,271,6.0102018185850525
score_final,baseline,B,TODOS,100,785,1,0.022177866489243733
score_final,baseline,A,TODOS,10,0,4491,100.0
score_final,baseline,A,TODOS,20,0,4491,100.0
score_final,baseline,A,TODOS,30,33,3147,70.07348029392118
score_final,baseline,A,TODOS,40,108,2694,59.986639946559784
score_final,baseline,A,TODOS,50,180,2252,50.14473391226898
score_final,baseline,A,TODOS,60,249,1815,40.41416165664663
score_final,baseline,A,TODOS,70,326,1387,30.883990202627476
score_final,baseline,A,TODOS,75,361,1162,25.873970162547316
score_final,baseline,A,TODOS,80,401,940,20.930750389668226
score_final,baseline,A,TODOS,85,448,716,15.942997105321755
score_final,baseline,A,TODOS,90,507,497,11.06657759964373
score_final,baseline,A,TODOS,95,576,268,5.967490536628813
score_final,baseline,A,TODOS,100,839,1,0.0222667557336896
