score,safra,group_ab,group_xy,percentil,score_percentil,count,percent
score_final,baseline,TODOS,X,10,0,2671,100.0
score_final,baseline,TODOS,X,20,0,2671,100.0
score_final,baseline,TODOS,X,30,27,1868,69.93635342568327
score_final,baseline,TODOS,X,40,91,1629,60.98839385997754
score_final,baseline,TODOS,X,50,168,1360,50.91725945338824
score_final,baseline,TODOS,X,60,242,1094,40.958442530887304
score_final,baseline,TODOS,X,70,324,831,31.111943092474732
score_final,baseline,TODOS,X,75,359,693,25.945338824410335
score_final,baseline,TODOS,X,80,404,558,20.891052040434293
score_final,baseline,TODOS,X,85,453,422,15.79932609509547
score_final,baseline,TODOS,X,90,502,297,11.119430924747284
score_final,baseline,TODOS,X,95,573,159,5.95282665668289
score_final,baseline,TODOS,X,100,783,1,0.037439161362785474
score_final,baseline,TODOS,Y,10,0,6329,100.0
score_final,baseline,TODOS,Y,20,0,6329,100.0
score_final,baseline,TODOS,Y,30,31,4477,70.73787328171906
score_final,baseline,TODOS,Y,40,105,3819,60.341286143150576
score_final,baseline,TODOS,Y,50,177,3202,50.592510665191966
score_final,baseline,TODOS,Y,60,242,2580,40.76473376520777
score_final,baseline,TODOS,Y,70,315,1951,30.82635487438774
score_final,baseline,TODOS,Y,75,353,1640,25.912466424395642
score_final,baseline,TODOS,Y,80,394,1319,20.840575130352345
score_final,baseline,TODOS,Y,85,440,1000,15.800284405119292
score_final,baseline,TODOS,Y,90,500,689,10.886395955127192
score_final,baseline,TODOS,Y,95,567,375,5.925106651919735
score_final,baseline,TODOS,Y,100,839,1,0.015800284405119294
