score,safra,group_ab,group_xy,percentil,score_percentil,count,percent
score_final,baseline,TODOS,TODOS,10,0,9000,100.0
score_final,baseline,TODOS,TODOS,20,0,9000,100.0
score_final,baseline,TODOS,TODOS,30,32,6316,70.17777777777778
score_final,baseline,TODOS,TODOS,40,105,5397,59.96666666666667
score_final,baseline,TODOS,TODOS,50,177,4530,50.33333333333333
score_final,baseline,TODOS,TODOS,60,245,3643,40.47777777777778
score_final,baseline,TODOS,TODOS,70,318,2774,30.822222222222223
score_final,baseline,TODOS,TODOS,75,356,2316,25.733333333333334
score_final,baseline,TODOS,TODOS,80,398,1873,20.81111111111111
score_final,baseline,TODOS,TODOS,85,444,1430,15.88888888888889
score_final,baseline,TODOS,TODOS,90,500,992,11.022222222222222
score_final,baseline,TODOS,TODOS,95,569,539,5.988888888888889
score_final,baseline,TODOS,TODOS,100,839,1,0.011111111111111112
