group_ab,group_xy,percentil,total_fraudes_baseline,total_fraudes_producao,total_fraudes_safra,percentual_fraudes_total_baseline,percentual_fraudes_total_producao,safra,score
A,X,75,112,116,448,25.0,25.892857142857146,202305,score_final
A,Y,75,278,277,1063,26.152398871119477,26.05832549388523,202305,score_final
B,X,75,116,116,444,26.126126126126124,26.126126126126124,202305,score_final
B,Y,75,274,262,1011,27.101879327398613,25.91493570722057,202305,score_final
A,X,85,62,73,448,13.839285714285715,16.294642857142858,202305,score_final
A,Y,85,171,171,1063,16.086547507055503,16.086547507055503,202305,score_final
B,X,85,64,72,444,14.414414414414415,16.216216216216218,202305,score_final
B,Y,85,172,162,1011,17.012858555885263,16.023738872403563,202305,score_final
A,X,95,17,27,448,3.7946428571428568,6.026785714285714,202305,score_final
A,Y,95,51,64,1063,4.797742238946378,6.020696142991533,202305,score_final
B,X,95,20,28,444,4.504504504504505,6.306306306306306,202305,score_final
B,Y,95,67,62,1011,6.627101879327399,6.132542037586548,202305,score_final
