score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_ext_1,202304,20,A,TODOS,187,1182,80.51771117166211,208,1152,78.4741144414169
score_ext_1,202304,30,A,TODOS,298,1027,69.95912806539509,309,1005,68.46049046321527
score_ext_1,202304,10,A,TODOS,92,1330,90.59945504087193,104,1308,89.10081743869209
score_ext_1,202304,85,B,TODOS,834,238,15.782493368700266,832,241,15.981432360742707
score_ext_1,202304,20,B,TODOS,203,1218,80.76923076923077,192,1233,81.76392572944296
score_ext_1,202304,30,B,TODOS,307,1060,70.29177718832891,287,1097,72.74535809018568
score_ext_1,202304,80,B,TODOS,792,312,20.689655172413794,780,322,21.352785145888596
score_ext_1,202304,40,B,TODOS,412,920,61.0079575596817,389,955,63.3289124668435
score_ext_1,202304,50,A,TODOS,488,749,51.02179836512262,499,730,49.72752043596731
score_ext_1,202304,100,B,TODOS,1000,1,0.0663129973474801,1000,1,0.0663129973474801
score_ext_1,202304,90,B,TODOS,882,166,11.007957559681698,880,169,11.206896551724139
score_ext_1,202304,85,A,TODOS,845,234,15.940054495912806,842,238,16.212534059945504
score_ext_1,202304,75,A,TODOS,746,378,25.74931880108992,743,382,26.021798365122617
score_ext_1,202304,70,A,TODOS,689,453,30.858310626702995,690,452,30.79019073569482
score_ext_1,202304,100,A,TODOS,1000,1,0.06811989100817438,1000,1,0.06811989100817438
score_ext_1,202304,95,B,TODOS,937,90,5.968169761273209,933,92,6.10079575596817
score_ext_1,202304,40,A,TODOS,382,897,61.10354223433242,402,871,59.33242506811989
score_ext_1,202304,80,A,TODOS,798,305,20.776566757493185,793,314,21.389645776566756
score_ext_1,202304,10,B,TODOS,116,1347,89.3236074270557,98,1368,90.71618037135278
score_ext_1,202304,60,B,TODOS,602,614,40.716180371352785,578,657,43.567639257294424
score_ext_1,202304,90,A,TODOS,891,160,10.899182561307901,893,155,10.558583106267031
score_ext_1,202304,70,B,TODOS,704,462,30.636604774535808,682,494,32.758620689655174
score_ext_1,202304,50,B,TODOS,514,768,50.92838196286472,487,816,54.11140583554377
score_ext_1,202304,75,B,TODOS,747,392,25.9946949602122,730,417,27.652519893899203
score_ext_1,202304,95,A,TODOS,945,89,6.062670299727521,941,95,6.471389645776567
score_ext_1,202304,60,A,TODOS,584,600,40.87193460490463,598,584,39.782016348773844
