score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_final,202304,40,TODOS,X,102,525,60.206422018348626,382,187,21.444954128440365
score_final,202304,95,TODOS,X,547,53,6.077981651376147,947,0,0.0
score_final,202304,70,TODOS,Y,329,661,31.06203007518797,690,18,0.8458646616541353
score_final,202304,80,TODOS,Y,412,445,20.911654135338345,793,0,0.0
score_final,202304,75,TODOS,X,354,227,26.03211009174312,760,1,0.11467889908256881
score_final,202304,30,TODOS,X,30,616,70.64220183486239,287,308,35.321100917431195
score_final,202304,50,TODOS,Y,186,1085,50.98684210526315,499,257,12.077067669172932
score_final,202304,20,TODOS,Y,0,2128,100.0,208,1016,47.744360902255636
score_final,202304,60,TODOS,X,244,355,40.711009174311926,596,25,2.86697247706422
score_final,202304,60,TODOS,Y,258,870,40.883458646616546,598,90,4.2293233082706765
score_final,202304,10,TODOS,X,0,872,100.0,93,537,61.582568807339456
score_final,202304,40,TODOS,Y,114,1288,60.526315789473685,402,468,21.992481203007518
score_final,202304,70,TODOS,X,320,268,30.73394495412844,708,4,0.45871559633027525
score_final,202304,90,TODOS,Y,512,233,10.949248120300751,893,0,0.0
score_final,202304,75,TODOS,Y,366,555,26.080827067669173,743,4,0.18796992481203006
score_final,202304,20,TODOS,X,0,872,100.0,194,423,48.50917431192661
score_final,202304,10,TODOS,Y,0,2128,100.0,104,1316,61.8421052631579
score_final,202304,100,TODOS,X,811,1,0.11467889908256881,1000,0,0.0
score_final,202304,80,TODOS,X,385,183,20.98623853211009,808,1,0.11467889908256881
score_final,202304,95,TODOS,Y,574,129,6.06203007518797,941,0,0.0
score_final,202304,85,TODOS,Y,457,338,15.88345864661654,842,0,0.0
score_final,202304,90,TODOS,X,480,96,11.009174311926607,902,0,0.0
score_final,202304,100,TODOS,Y,792,1,0.046992481203007516,1000,0,0.0
score_final,202304,50,TODOS,X,181,439,50.34403669724771,506,79,9.059633027522935
score_final,202304,85,TODOS,X,424,139,15.940366972477063,859,0,0.0
score_final,202304,30,TODOS,Y,31,1508,70.86466165413535,309,712,33.45864661654135
