score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_ext_1,202304,40,TODOS,X,387,518,59.884393063583815,382,522,60.346820809248555
score_ext_1,202304,95,TODOS,X,935,53,6.127167630057803,947,41,4.7398843930635834
score_ext_1,202304,70,TODOS,Y,707,644,30.506868782567505,690,683,32.35433443865466
score_ext_1,202304,80,TODOS,Y,799,437,20.70108953102795,793,452,21.411653244907626
score_ext_1,202304,75,TODOS,X,731,227,26.242774566473987,760,201,23.23699421965318
score_ext_1,202304,30,TODOS,X,283,609,70.40462427745665,287,605,69.94219653179191
score_ext_1,202304,50,TODOS,Y,519,1065,50.450023685457126,499,1109,52.53434391283752
score_ext_1,202304,20,TODOS,Y,210,1681,79.63050686878258,208,1685,79.81999052581715
score_ext_1,202304,60,TODOS,X,572,354,40.92485549132948,596,320,36.99421965317919
score_ext_1,202304,60,TODOS,Y,615,852,40.360018948365706,598,888,42.06537186167693
score_ext_1,202304,10,TODOS,X,122,774,89.47976878612717,93,795,91.90751445086705
score_ext_1,202304,40,TODOS,Y,418,1271,60.20843202273804,402,1301,61.629559450497396
score_ext_1,202304,70,TODOS,X,672,266,30.751445086705203,708,245,28.32369942196532
score_ext_1,202304,90,TODOS,Y,889,233,11.03742302226433,893,220,10.421601136901943
score_ext_1,202304,75,TODOS,Y,751,548,25.959261013737567,743,565,26.764566556134533
score_ext_1,202304,20,TODOS,X,178,701,81.04046242774567,194,688,79.53757225433526
score_ext_1,202304,10,TODOS,Y,98,1896,89.81525343439128,104,1880,89.05731880625297
score_ext_1,202304,100,TODOS,X,999,2,0.23121387283236997,1000,0,0.0
score_ext_1,202304,95,TODOS,Y,944,126,5.968735196589294,941,134,6.347702510658455
score_ext_1,202304,80,TODOS,X,775,180,20.809248554913296,808,154,17.803468208092486
score_ext_1,202304,85,TODOS,Y,846,335,15.86925627664614,842,343,16.2482235907153
score_ext_1,202304,90,TODOS,X,877,95,10.982658959537572,902,74,8.554913294797688
score_ext_1,202304,100,TODOS,Y,1000,2,0.09474182851729039,1000,2,0.09474182851729039
score_ext_1,202304,50,TODOS,X,472,441,50.982658959537574,506,407,47.05202312138728
score_ext_1,202304,85,TODOS,X,822,138,15.953757225433526,859,105,12.138728323699421
score_ext_1,202304,30,TODOS,Y,306,1491,70.63003315963998,309,1483,70.25106584557082
