group_ab,group_xy,percentil,total_fraudes_baseline,total_fraudes_producao,total_fraudes_safra,percentual_fraudes_total_baseline,percentual_fraudes_total_producao,safra,score
A,X,75,115,112,437,26.31578947368421,25.62929061784897,202306,score_final
A,Y,75,259,275,1057,24.503311258278146,26.017029328287606,202306,score_final
B,X,75,130,119,457,28.44638949671772,26.039387308533918,202306,score_final
B,Y,75,279,266,1024,27.24609375,25.9765625,202306,score_final
A,X,85,65,70,437,14.874141876430205,16.018306636155607,202306,score_final
A,Y,85,157,166,1057,14.853358561967834,15.704824976348156,202306,score_final
B,X,85,77,75,457,16.849015317286653,16.411378555798688,202306,score_final
B,Y,85,180,164,1024,17.578125,16.015625,202306,score_final
A,X,95,20,26,437,4.576659038901601,5.949656750572083,202306,score_final
A,Y,95,59,64,1057,5.581835383159887,6.054872280037843,202306,score_final
B,X,95,34,29,457,7.439824945295405,6.3457330415754925,202306,score_final
B,Y,95,74,62,1024,7.2265625,6.0546875,202306,score_final
