score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_final,202305,85,A,Y,447,174,16.081330868761555,842,0,0.0
score_final,202305,85,A,X,433,73,16.22222222222222,859,0,0.0
score_final,202305,30,B,Y,29,719,70.55937193326791,287,367,36.015701668302256
score_final,202305,95,B,Y,578,62,6.084396467124632,933,0,0.0
score_final,202305,40,B,Y,110,615,60.35328753680078,389,237,23.25809617271835
score_final,202305,100,B,X,727,1,0.22271714922048996,999,0,0.0
score_final,202305,75,B,Y,362,264,25.90775269872424,730,4,0.39254170755642787
score_final,202305,70,B,Y,317,317,31.108930323846906,682,11,1.0794896957801767
score_final,202305,30,A,Y,41,761,70.33271719038817,309,364,33.64140480591497
score_final,202305,80,B,Y,402,214,21.00098135426889,780,2,0.19627085377821393
score_final,202305,50,A,Y,194,547,50.554528650646944,499,116,10.720887245841034
score_final,202305,100,B,Y,790,1,0.09813542688910697,1000,0,0.0
score_final,202305,80,A,Y,404,225,20.794824399260627,793,1,0.09242144177449169
score_final,202305,95,A,X,540,27,6.0,947,0,0.0
score_final,202305,95,A,Y,558,66,6.099815157116451,941,0,0.0
score_final,202305,90,B,Y,506,112,10.99116781157998,880,0,0.0
score_final,202305,80,B,X,395,94,20.93541202672606,777,0,0.0
score_final,202305,80,A,X,392,95,21.11111111111111,808,1,0.2222222222222222
score_final,202305,50,B,X,176,226,50.33407572383074,485,48,10.690423162583519
score_final,202305,75,A,Y,362,282,26.062846580406656,743,3,0.27726432532347506
score_final,202305,10,B,X,0,449,100.0,90,278,61.915367483296215
score_final,202305,75,A,X,366,116,25.77777777777778,760,1,0.2222222222222222
score_final,202305,60,B,X,241,184,40.97995545657015,593,13,2.89532293986637
score_final,202305,60,A,X,251,185,41.11111111111111,596,14,3.111111111111111
score_final,202305,100,A,Y,805,1,0.09242144177449169,1000,0,0.0
score_final,202305,90,B,X,482,49,10.913140311804009,886,0,0.0
score_final,202305,40,A,X,94,275,61.111111111111114,382,107,23.77777777777778
score_final,202305,20,B,Y,0,1019,100.0,192,502,49.2639842983317
score_final,202305,10,A,Y,0,1082,100.0,104,682,63.03142329020333
score_final,202305,10,B,Y,0,1019,100.0,98,639,62.70853778213935
score_final,202305,70,B,X,318,139,30.957683741648108,676,4,0.8908685968819599
score_final,202305,20,B,X,0,449,100.0,183,223,49.665924276169264
score_final,202305,85,B,X,438,72,16.035634743875278,824,0,0.0
score_final,202305,70,A,Y,325,336,31.053604436229204,690,6,0.5545286506469501
score_final,202305,75,B,X,352,117,26.057906458797326,722,1,0.22271714922048996
score_final,202305,85,B,Y,446,163,15.996074582924436,832,0,0.0
score_final,202305,60,A,Y,262,442,40.85027726432532,598,43,3.9741219963031424
score_final,202305,40,B,X,97,274,61.02449888641426,387,99,22.048997772828507
score_final,202305,10,A,X,0,450,100.0,93,275,61.111111111111114
score_final,202305,50,A,X,161,227,50.44444444444445,506,37,8.222222222222223
score_final,202305,90,A,X,475,51,11.333333333333332,902,0,0.0
score_final,202305,100,A,X,827,1,0.2222222222222222,1000,0,0.0
score_final,202305,70,A,X,326,140,31.11111111111111,708,2,0.4444444444444444
score_final,202305,90,A,Y,498,120,11.090573012939002,893,0,0.0
score_final,202305,20,A,X,0,450,100.0,194,214,47.55555555555556
score_final,202305,30,B,X,28,317,70.60133630289532,297,153,34.075723830734965
score_final,202305,60,B,Y,255,411,40.333660451422965,578,62,6.084396467124632
score_final,202305,95,B,X,534,28,6.23608017817372,931,0,0.0
score_final,202305,40,A,Y,120,653,60.351201478743064,402,225,20.794824399260627
score_final,202305,30,A,X,24,317,70.44444444444444,287,165,36.666666666666664
score_final,202305,20,A,Y,0,1082,100.0,208,525,48.52125693160813
score_final,202305,50,B,Y,183,513,50.343473994111875,487,128,12.561334641805692
