score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_ext_1,202305,10,A,TODOS,100,1361,89.48060486522024,104,1356,89.15187376725838
score_ext_1,202305,20,A,TODOS,181,1233,81.06508875739645,208,1194,78.50098619329388
score_ext_1,202305,30,A,TODOS,299,1072,70.47994740302433,309,1056,69.42800788954635
score_ext_1,202305,40,A,TODOS,406,915,60.15779092702169,402,922,60.61801446416831
score_ext_1,202305,50,A,TODOS,503,765,50.29585798816568,499,773,50.82182774490467
score_ext_1,202305,60,A,TODOS,602,616,40.499671268902034,598,624,41.02564102564102
score_ext_1,202305,70,A,TODOS,707,465,30.57199211045365,690,491,32.28139381985536
score_ext_1,202305,75,A,TODOS,756,389,25.575279421433265,743,407,26.758711374095988
score_ext_1,202305,80,A,TODOS,807,319,20.973044049967125,793,347,22.813938198553583
score_ext_1,202305,85,A,TODOS,857,242,15.910585141354371,842,265,17.42274819197896
score_ext_1,202305,90,A,TODOS,899,169,11.11111111111111,893,182,11.965811965811966
score_ext_1,202305,95,A,TODOS,946,92,6.0486522024983564,941,99,6.508875739644971
score_ext_1,202305,100,A,TODOS,1000,2,0.13149243918474687,1000,2,0.13149243918474687
score_ext_1,202305,10,B,TODOS,90,1317,90.64005505849966,98,1304,89.74535443909153
score_ext_1,202305,20,B,TODOS,191,1167,80.31658637302134,192,1164,80.11011699931177
score_ext_1,202305,30,B,TODOS,295,1014,69.78664831383344,287,1021,70.26841018582243
score_ext_1,202305,40,B,TODOS,401,881,60.633172746042675,389,896,61.6655196145905
score_ext_1,202305,50,B,TODOS,494,732,50.3785271851342,487,741,50.99793530626291
score_ext_1,202305,60,B,TODOS,593,588,40.46799724707502,578,612,42.11975223675155
score_ext_1,202305,70,B,TODOS,703,447,30.763936682725397,682,472,32.48451479697178
score_ext_1,202305,75,B,TODOS,755,371,25.533379215416378,730,408,28.07983482450103
score_ext_1,202305,80,B,TODOS,802,301,20.715760495526496,780,334,22.98692360633173
score_ext_1,202305,85,B,TODOS,851,230,15.82931865106676,832,257,17.687543014452856
score_ext_1,202305,90,B,TODOS,896,160,11.011699931176876,880,185,12.732278045423262
score_ext_1,202305,95,B,TODOS,940,88,6.056434962147281,933,97,6.675843083275981
score_ext_1,202305,100,B,TODOS,1000,4,0.27529249827942187,1000,4,0.27529249827942187
