score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_ext_1,202306,85,A,X,863,69,15.935334872979215,859,72,16.628175519630485
score_ext_1,202306,85,A,Y,832,167,15.81439393939394,842,156,14.772727272727273
score_ext_1,202306,30,B,Y,300,724,70.703125,287,741,72.36328125
score_ext_1,202306,95,B,Y,942,63,6.15234375,933,70,6.8359375
score_ext_1,202306,40,B,Y,404,618,60.3515625,389,636,62.109375
score_ext_1,202306,100,B,X,999,2,0.437636761487965,999,2,0.437636761487965
score_ext_1,202306,75,B,Y,748,265,25.87890625,730,284,27.734375
score_ext_1,202306,70,B,Y,704,315,30.76171875,682,332,32.421875
score_ext_1,202306,30,A,Y,270,750,71.02272727272727,309,711,67.32954545454545
score_ext_1,202306,80,B,Y,783,215,20.99609375,780,222,21.6796875
score_ext_1,202306,50,A,Y,480,532,50.378787878787875,499,513,48.57954545454545
score_ext_1,202306,100,B,Y,998,1,0.09765625,1000,0,0.0
score_ext_1,202306,95,A,X,934,26,6.0046189376443415,947,21,4.849884526558892
score_ext_1,202306,80,A,Y,775,221,20.928030303030305,793,203,19.223484848484848
score_ext_1,202306,95,A,Y,943,63,5.965909090909091,941,67,6.34469696969697
score_ext_1,202306,90,B,Y,883,112,10.9375,880,115,11.23046875
score_ext_1,202306,80,B,X,808,95,20.787746170678336,777,107,23.413566739606125
score_ext_1,202306,80,A,X,810,92,21.247113163972287,808,92,21.247113163972287
score_ext_1,202306,50,B,X,486,232,50.76586433260394,485,232,50.76586433260394
score_ext_1,202306,75,A,Y,733,273,25.85227272727273,743,265,25.094696969696972
score_ext_1,202306,10,B,X,94,415,90.80962800875274,90,416,91.02844638949672
score_ext_1,202306,75,A,X,756,113,26.096997690531175,760,112,25.86605080831409
score_ext_1,202306,60,B,X,594,184,40.26258205689278,593,184,40.26258205689278
score_ext_1,202306,60,A,X,604,177,40.877598152424945,596,181,41.801385681293304
score_ext_1,202306,100,A,Y,1000,1,0.0946969696969697,1000,1,0.0946969696969697
score_ext_1,202306,90,B,X,905,50,10.940919037199125,886,58,12.691466083150985
score_ext_1,202306,40,A,X,406,263,60.739030023094685,382,267,61.662817551963045
score_ext_1,202306,20,B,Y,201,817,79.78515625,192,831,81.15234375
score_ext_1,202306,10,A,Y,94,956,90.53030303030303,104,946,89.58333333333334
score_ext_1,202306,10,B,Y,110,918,89.6484375,98,926,90.4296875
score_ext_1,202306,70,B,X,701,142,31.072210065645518,676,153,33.479212253829324
score_ext_1,202306,20,B,X,204,367,80.30634573304157,183,381,83.36980306345733
score_ext_1,202306,85,B,X,853,73,15.973741794310722,824,87,19.037199124726477
score_ext_1,202306,70,A,Y,677,324,30.681818181818183,690,310,29.35606060606061
score_ext_1,202306,75,B,X,748,118,25.82056892778993,722,129,28.227571115973742
score_ext_1,202306,85,B,Y,832,163,15.91796875,832,163,15.91796875
score_ext_1,202306,40,B,X,397,275,60.17505470459519,387,278,60.83150984682714
score_ext_1,202306,10,A,X,80,393,90.76212471131639,93,387,89.37644341801386
score_ext_1,202306,60,A,Y,577,433,41.003787878787875,598,412,39.015151515151516
score_ext_1,202306,50,A,X,500,219,50.57736720554272,506,213,49.19168591224018
score_ext_1,202306,90,A,X,901,48,11.085450346420323,902,47,10.854503464203233
score_ext_1,202306,100,A,X,1000,1,0.23094688221709006,1000,1,0.23094688221709006
score_ext_1,202306,70,A,X,711,133,30.71593533487298,708,134,30.94688221709007
score_ext_1,202306,90,A,Y,897,114,10.795454545454545,893,118,11.174242424242424
score_ext_1,202306,20,A,X,170,350,80.83140877598153,194,344,79.44572748267899
score_ext_1,202306,30,B,X,290,324,70.89715536105032,297,320,70.02188183807439
score_ext_1,202306,60,B,Y,607,417,40.72265625,578,450,43.9453125
score_ext_1,202306,95,B,X,947,29,6.3457330415754925,931,37,8.096280087527353
score_ext_1,202306,40,A,Y,381,638,60.416666666666664,402,610,57.765151515151516
score_ext_1,202306,30,A,X,287,306,70.66974595842956,287,306,70.66974595842956
score_ext_1,202306,20,A,Y,187,849,80.39772727272727,208,826,78.21969696969697
score_ext_1,202306,50,B,Y,506,517,50.48828125,487,541,52.83203125
