score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_ext_1,202306,20,A,TODOS,184,1201,80.658159838818,208,1163,78.10611148421759
score_ext_1,202306,30,A,TODOS,282,1051,70.58428475486905,309,1008,67.696440564137
score_ext_1,202306,10,A,TODOS,87,1351,90.73203492276696,104,1329,89.25453324378778
score_ext_1,202306,85,B,TODOS,839,236,15.935178933153274,832,248,16.74544226873734
score_ext_1,202306,20,B,TODOS,197,1197,80.82376772451046,192,1207,81.49898717083052
score_ext_1,202306,30,B,TODOS,301,1040,70.22282241728561,287,1068,72.11343686698177
score_ext_1,202306,80,B,TODOS,791,310,20.931802835921676,780,328,22.14719783929777
score_ext_1,202306,40,B,TODOS,403,890,60.094530722484805,389,913,61.64753544902093
score_ext_1,202306,50,A,TODOS,486,754,50.6380120886501,499,732,49.16051040967092
score_ext_1,202306,100,B,TODOS,999,2,0.1350438892640108,1000,0,0.0
score_ext_1,202306,90,B,TODOS,888,164,11.073598919648886,880,176,11.88386225523295
score_ext_1,202306,85,A,TODOS,843,236,15.84956346541303,842,237,15.916722632639354
score_ext_1,202306,75,A,TODOS,742,386,25.92343854936199,743,382,25.654801880456684
score_ext_1,202306,70,A,TODOS,687,456,30.624580255204837,690,453,30.423102753525853
score_ext_1,202306,100,A,TODOS,1000,2,0.1343183344526528,1000,2,0.1343183344526528
score_ext_1,202306,95,B,TODOS,945,89,6.009453072248481,933,105,7.089804186360567
score_ext_1,202306,40,A,TODOS,385,900,60.443250503693754,402,874,58.69711215580927
score_ext_1,202306,80,A,TODOS,785,312,20.953660174613834,793,303,20.349227669576898
score_ext_1,202306,10,B,TODOS,95,1343,90.68197164078326,98,1339,90.41188386225524
score_ext_1,202306,60,B,TODOS,604,601,40.580688723835245,578,642,43.34908845374747
score_ext_1,202306,90,A,TODOS,897,163,10.946944257891202,893,168,11.282740094022834
score_ext_1,202306,70,B,TODOS,701,459,30.99257258609048,682,484,32.68062120189062
score_ext_1,202306,50,B,TODOS,502,747,50.43889264010804,487,772,52.126941255908164
score_ext_1,202306,75,B,TODOS,748,383,25.860904794058072,730,410,27.683997299122215
score_ext_1,202306,95,A,TODOS,941,91,6.111484217595701,941,91,6.111484217595701
score_ext_1,202306,60,A,TODOS,587,609,40.899932840832776,598,591,39.6910678307589
